Driver,Team,LapNumber,Position,Compound,TyreLife,Stint,TrackStatus,LapTimeSeconds,PitLap,PitNextLap,LapsRemaining,RaceProgress,AvgPaceLast3,AvgPaceLast5,AvgPaceLast10,DegradationRate,CurrentStintLength,PitStopsCompleted,Season,Race
ALO,Aston Martin,53.0,8.0,MEDIUM,27.0,2.0,1,96.014,0,0,9.0,0.8548387096774194,95.97733333333333,96.10440000000001,97.025,-0.09040000000001669,25.0,1,2025,Pre-Season Testing
ALO,Aston Martin,54.0,8.0,MEDIUM,28.0,2.0,1,96.036,0,0,8.0,0.8709677419354839,95.97066666666667,95.98599999999999,96.8621,0.05000000000001137,26.0,1,2025,Pre-Season Testing
ALO,Aston Martin,55.0,8.0,MEDIUM,29.0,2.0,1,96.768,0,0,7.0,0.8870967741935484,96.27266666666667,96.1472,96.7112,0.6208000000000027,27.0,1,2025,Pre-Season Testing
ALO,Aston Martin,56.0,8.0,MEDIUM,30.0,2.0,1,96.153,0,0,6.0,0.9032258064516129,96.319,96.1666,96.57149999999999,-0.013599999999996726,28.0,1,2025,Pre-Season Testing
ALO,Aston Martin,57.0,8.0,MEDIUM,31.0,2.0,1,95.92,0,0,5.0,0.9193548387096774,96.28033333333333,96.17819999999999,96.2887,-0.258199999999988,29.0,1,2025,Pre-Season Testing
ALO,Aston Martin,58.0,8.0,MEDIUM,32.0,2.0,1,95.942,0,0,4.0,0.9354838709677419,96.005,96.1638,96.1341,-0.22180000000000177,30.0,1,2025,Pre-Season Testing
ALO,Aston Martin,59.0,8.0,MEDIUM,33.0,2.0,1,96.004,0,0,3.0,0.9516129032258065,95.95533333333333,96.15740000000001,96.0717,-0.15340000000000487,31.0,1,2025,Pre-Season Testing
ALO,Aston Martin,60.0,8.0,MEDIUM,34.0,2.0,1,95.943,0,0,2.0,0.967741935483871,95.96300000000001,95.9924,96.06980000000001,-0.04940000000000566,32.0,1,2025,Pre-Season Testing
ALO,Aston Martin,61.0,8.0,MEDIUM,35.0,2.0,1,96.23,0,0,1.0,0.9838709677419355,96.05900000000001,96.0078,96.08720000000001,0.22220000000000084,33.0,1,2025,Pre-Season Testing
ALO,Aston Martin,62.0,8.0,MEDIUM,36.0,2.0,1,96.211,0,0,0.0,1.0,96.128,96.066,96.1221,0.14499999999999602,34.0,1,2025,Pre-Season Testing
ANT,Mercedes,2.0,6.0,MEDIUM,2.0,1.0,1,101.392,0,0,60.0,0.03225806451612903,101.392,101.392,101.392,0.0,1.0,0,2025,Pre-Season Testing
ANT,Mercedes,3.0,6.0,MEDIUM,3.0,1.0,1,99.261,0,0,59.0,0.04838709677419355,100.3265,100.3265,100.3265,-1.0655000000000001,2.0,0,2025,Pre-Season Testing
ANT,Mercedes,5.0,6.0,MEDIUM,5.0,1.0,1,98.044,0,0,57.0,0.08064516129032258,99.56566666666667,99.56566666666667,99.56566666666667,-1.5216666666666754,3.0,0,2025,Pre-Season Testing
ANT,Mercedes,6.0,6.0,MEDIUM,6.0,1.0,1,97.733,0,0,56.0,0.0967741935483871,98.346,99.1075,99.1075,-1.3744999999999976,4.0,0,2025,Pre-Season Testing
ANT,Mercedes,7.0,6.0,MEDIUM,7.0,1.0,12,97.906,0,0,55.0,0.11290322580645161,97.89433333333334,98.8672,98.8672,-0.961199999999991,5.0,0,2025,Pre-Season Testing
ANT,Mercedes,8.0,6.0,MEDIUM,8.0,1.0,1,97.588,0,0,54.0,0.12903225806451613,97.74233333333335,98.1064,98.654,-0.5183999999999997,6.0,0,2025,Pre-Season Testing
ANT,Mercedes,9.0,6.0,MEDIUM,9.0,1.0,1,97.736,0,0,53.0,0.14516129032258066,97.74333333333334,97.80139999999999,98.52285714285713,-0.06539999999998258,7.0,0,2025,Pre-Season Testing
ANT,Mercedes,10.0,6.0,MEDIUM,10.0,1.0,1,97.905,0,0,52.0,0.16129032258064516,97.74300000000001,97.7736,98.445625,0.1313999999999993,8.0,0,2025,Pre-Season Testing
ANT,Mercedes,11.0,6.0,MEDIUM,11.0,1.0,1,97.615,0,0,51.0,0.1774193548387097,97.752,97.75,98.35333333333332,-0.13500000000000512,9.0,0,2025,Pre-Season Testing
ANT,Mercedes,12.0,6.0,MEDIUM,12.0,1.0,1,97.615,0,0,50.0,0.1935483870967742,97.71166666666666,97.69179999999999,98.2795,-0.07679999999999154,10.0,0,2025,Pre-Season Testing
ANT,Mercedes,13.0,6.0,MEDIUM,13.0,1.0,1,97.621,0,0,49.0,0.20967741935483872,97.617,97.6984,97.9024,-0.07740000000001146,11.0,0,2025,Pre-Season Testing
ANT,Mercedes,14.0,6.0,MEDIUM,14.0,1.0,1,97.711,0,0,48.0,0.22580645161290322,97.649,97.6934,97.7474,0.017600000000001614,12.0,0,2025,Pre-Season Testing
ANT,Mercedes,15.0,6.0,MEDIUM,15.0,1.0,1,97.851,0,0,47.0,0.24193548387096775,97.72766666666666,97.68260000000001,97.7281,0.16839999999999122,13.0,0,2025,Pre-Season Testing
ANT,Mercedes,16.0,6.0,MEDIUM,16.0,1.0,1,97.705,0,0,46.0,0.25806451612903225,97.75566666666667,97.7006,97.7253,0.004400000000003956,14.0,0,2025,Pre-Season Testing
ANT,Mercedes,17.0,6.0,MEDIUM,17.0,1.0,1,97.529,0,0,45.0,0.27419354838709675,97.695,97.6834,97.6876,-0.15440000000000964,15.0,0,2025,Pre-Season Testing
