LapNumber,TyreLife,Position,LapsRemaining,RaceProgress,AvgPaceLast5,DegradationRate,PitNextLap
17.0,8.0,10.0,40.0,0.2982456140350877,98.516,0.4519999999999982,0
18.0,9.0,9.0,39.0,0.3157894736842105,98.5408,0.008200000000002206,0
19.0,10.0,9.0,38.0,0.3333333333333333,98.5658,-0.26779999999999404,0
20.0,11.0,9.0,37.0,0.3508771929824561,98.7566,0.5093999999999994,0
21.0,12.0,9.0,36.0,0.3684210526315789,98.8108,0.16219999999999857,0
22.0,13.0,10.0,35.0,0.38596491228070173,98.99660000000002,0.9003999999999905,0
23.0,14.0,10.0,34.0,0.40350877192982454,99.0552,-0.2132000000000005,0
24.0,15.0,10.0,33.0,0.42105263157894735,99.28,0.1419999999999959,0
25.0,16.0,10.0,32.0,0.43859649122807015,99.2914,0.03159999999999741,0
26.0,17.0,9.0,31.0,0.45614035087719296,99.4472,0.3048000000000002,1
30.0,2.0,15.0,27.0,0.5263157894736842,98.98519999999999,-1.3981999999999886,0
31.0,3.0,15.0,26.0,0.543859649122807,98.55319999999999,-1.8711999999999875,0
36.0,8.0,9.0,21.0,0.631578947368421,98.36819999999999,0.12880000000001246,0
37.0,9.0,9.0,20.0,0.6491228070175439,98.0192,-0.44119999999999493,0
38.0,10.0,9.0,19.0,0.6666666666666666,97.69760000000001,0.446399999999997,0
39.0,11.0,9.0,18.0,0.6842105263157895,97.686,-0.1570000000000107,0
40.0,12.0,9.0,17.0,0.7017543859649122,97.8482,-0.3552000000000106,0
41.0,13.0,9.0,16.0,0.7192982456140351,97.6558,-0.12080000000000268,0
43.0,15.0,9.0,14.0,0.7543859649122807,97.69539999999999,0.080600000000004,0
44.0,16.0,9.0,13.0,0.7719298245614035,97.643,0.23900000000000432,0
45.0,17.0,10.0,12.0,0.7894736842105263,97.9374,1.063600000000008,0
46.0,18.0,12.0,11.0,0.8070175438596491,98.3476,1.196399999999997,0
47.0,19.0,13.0,10.0,0.8245614035087719,98.6238,0.292199999999994,0
48.0,20.0,13.0,9.0,0.8421052631578947,98.73859999999999,-0.3885999999999967,0
49.0,21.0,13.0,8.0,0.8596491228070176,98.80080000000001,-0.6078000000000117,0
50.0,22.0,14.0,7.0,0.8771929824561403,98.8952,0.5777999999999963,0
51.0,23.0,14.0,6.0,0.8947368421052632,98.70239999999998,-0.12239999999998474,0
52.0,24.0,14.0,5.0,0.9122807017543859,98.59819999999999,-0.20319999999999538,0
53.0,25.0,14.0,4.0,0.9298245614035088,98.615,-0.18099999999999739,0
54.0,26.0,14.0,3.0,0.9473684210526315,98.6878,-0.1307999999999936,0
55.0,27.0,14.0,2.0,0.9649122807017544,98.50460000000001,0.052399999999991564,0
57.0,29.0,14.0,0.0,1.0,98.66199999999999,0.7050000000000125,0
2.0,5.0,5.0,55.0,0.03508771929824561,98.064,0.0,0
3.0,6.0,5.0,54.0,0.05263157894736842,98.241,0.1770000000000067,0
4.0,7.0,5.0,53.0,0.07017543859649122,98.26466666666666,0.04733333333334144,0
5.0,8.0,5.0,52.0,0.08771929824561403,98.35249999999999,0.2635000000000076,0
6.0,9.0,5.0,51.0,0.10526315789473684,98.4554,0.41160000000000707,0
7.0,10.0,5.0,50.0,0.12280701754385964,98.64320000000001,0.3597999999999928,0
8.0,11.0,5.0,49.0,0.14035087719298245,98.8458,0.5852000000000004,0
9.0,12.0,5.0,48.0,0.15789473684210525,99.2026,0.8933999999999997,1
12.0,2.0,13.0,45.0,0.21052631578947367,98.95700000000001,-1.5690000000000026,0
13.0,3.0,11.0,44.0,0.22807017543859648,98.7172,-1.049199999999999,0
14.0,4.0,10.0,43.0,0.24561403508771928,98.85459999999999,0.835400000000007,0
15.0,5.0,8.0,42.0,0.2631578947368421,98.5774,-0.5323999999999955,0
16.0,6.0,7.0,41.0,0.2807017543859649,98.1944,-0.013400000000004297,0
17.0,7.0,6.0,40.0,0.2982456140350877,98.35640000000001,-0.15840000000001453,0
18.0,8.0,5.0,39.0,0.3157894736842105,98.65299999999999,0.49800000000000466,0
19.0,9.0,5.0,38.0,0.3333333333333333,98.3374,-0.2254000000000076,0
20.0,10.0,5.0,37.0,0.3508771929824561,98.41659999999999,0.024400000000014188,0
21.0,11.0,5.0,36.0,0.3684210526315789,98.41900000000001,-0.2260000000000133,0
22.0,12.0,5.0,35.0,0.38596491228070173,98.44860000000001,-0.10260000000000957,0
23.0,13.0,5.0,34.0,0.40350877192982454,98.3416,0.2744,0
24.0,14.0,5.0,33.0,0.42105263157894735,98.4072,0.03279999999999461,0
25.0,15.0,5.0,32.0,0.43859649122807015,98.458,0.23699999999999477,0
26.0,16.0,5.0,31.0,0.45614035087719296,98.59899999999999,0.2990000000000066,0
27.0,17.0,5.0,30.0,0.47368421052631576,98.6802,0.07179999999999609,1
30.0,2.0,10.0,27.0,0.5263157894736842,98.4106,-1.1426000000000016,0
31.0,3.0,10.0,26.0,0.543859649122807,98.26079999999999,-0.5697999999999865,0
